[15/Jul/2026 12:48:43] "GET /api/schema/ HTTP/1.1" 200 4618
[15/Jul/2026 12:48:53,420] - Broken pipe from ('127.0.0.1', 60008)
[15/Jul/2026 12:48:55] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:48:55] "GET /api/cart/ HTTP/1.1" 401 51
[15/Jul/2026 12:48:55] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:48:55] "GET /api/cart/ HTTP/1.1" 401 51
[15/Jul/2026 12:49:18] "POST /api/token/ HTTP/1.1" 200 491
[15/Jul/2026 12:49:18,686] - Broken pipe from ('127.0.0.1', 54702)
[15/Jul/2026 12:49:18] "GET /api/cart/ HTTP/1.1" 401 51
[15/Jul/2026 12:49:19] "GET /api/cart/ HTTP/1.1" 401 51
[15/Jul/2026 12:49:19] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:49:19] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:53:02] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 12:53:02] "GET /api/cart/ HTTP/1.1" 401 58
[15/Jul/2026 12:53:02] "GET /api/cart/ HTTP/1.1" 401 58
[15/Jul/2026 12:53:03] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:53:03] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:55:29] "GET /api/cart/ HTTP/1.1" 401 58
[15/Jul/2026 12:55:29] "GET /api/cart/ HTTP/1.1" 401 58
[15/Jul/2026 12:55:29] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:55:29] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:56:10] "OPTIONS /api/token/ HTTP/1.1" 200 0
[15/Jul/2026 12:56:13] "POST /api/token/ HTTP/1.1" 200 491
[15/Jul/2026 12:56:14] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:56:14] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:58:25] "GET /api/cart/ HTTP/1.1" 401 51
[15/Jul/2026 12:58:25] "GET /api/cart/ HTTP/1.1" 401 51
[15/Jul/2026 12:59:08] "GET /api/cart/ HTTP/1.1" 401 58
[15/Jul/2026 12:59:08] "GET /api/cart/ HTTP/1.1" 401 58
[15/Jul/2026 12:59:08] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 12:59:08] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 13:12:21] "GET /api/products/16/ HTTP/1.1" 200 237
[15/Jul/2026 13:12:21] "GET /api/products/16/ HTTP/1.1" 200 237
[15/Jul/2026 13:12:45] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 13:12:45] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 13:12:45] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 13:12:45] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 13:12:45] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 13:12:45] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 13:12:47] "GET /api/products/16/ HTTP/1.1" 200 237
[15/Jul/2026 13:12:47] "GET /api/products/16/ HTTP/1.1" 200 237
[15/Jul/2026 13:12:48] "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
[15/Jul/2026 13:12:48] "POST /api/cart/add/ HTTP/1.1" 200 383
[15/Jul/2026 13:12:49] "GET /api/cart/ HTTP/1.1" 200 340
[15/Jul/2026 13:13:53] "OPTIONS /api/cart/remove/ HTTP/1.1" 200 0
[15/Jul/2026 13:13:53] "POST /api/cart/remove/ HTTP/1.1" 200 36
[15/Jul/2026 13:13:53] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 13:13:53] "GET /api/cart/ HTTP/1.1" 200 211
[15/Jul/2026 13:13:58] "POST /api/cart/remove/ HTTP/1.1" 200 36
[15/Jul/2026 13:13:58] "GET /api/cart/ HTTP/1.1" 200 83
[15/Jul/2026 13:14:01] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 13:14:01] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 13:14:03] "GET /api/products/16/ HTTP/1.1" 200 237
[15/Jul/2026 13:14:03] "GET /api/products/16/ HTTP/1.1" 200 237
[15/Jul/2026 13:14:05] "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
[15/Jul/2026 13:14:05] "POST /api/cart/add/ HTTP/1.1" 200 254
[15/Jul/2026 13:14:05] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 13:14:06] "GET /api/cart/ HTTP/1.1" 200 211
[15/Jul/2026 13:14:16] "OPTIONS /api/cart/update/ HTTP/1.1" 200 0
[15/Jul/2026 13:14:16] "POST /api/cart/update/ HTTP/1.1" 200 125
[15/Jul/2026 13:14:16] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 13:14:17] "GET /api/cart/ HTTP/1.1" 200 211
[15/Jul/2026 13:14:19] "POST /api/cart/update/ HTTP/1.1" 200 125
[15/Jul/2026 13:14:19] "GET /api/cart/ HTTP/1.1" 200 211
[15/Jul/2026 13:33:18] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 13:33:18] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 13:33:24] "GET /api/products/15/ HTTP/1.1" 200 232
[15/Jul/2026 13:33:24] "GET /api/products/15/ HTTP/1.1" 200 232
[15/Jul/2026 13:33:32] "OPTIONS /api/cart/add/ HTTP/1.1" 200 0
[15/Jul/2026 13:33:32] "POST /api/cart/add/ HTTP/1.1" 200 383
[15/Jul/2026 13:33:32] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 13:33:32] "GET /api/cart/ HTTP/1.1" 200 340
[15/Jul/2026 13:34:11] "OPTIONS /api/cart/update/ HTTP/1.1" 200 0
[15/Jul/2026 13:34:11] "POST /api/cart/update/ HTTP/1.1" 200 127
[15/Jul/2026 13:34:11] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 13:34:11] "GET /api/cart/ HTTP/1.1" 200 340
[15/Jul/2026 13:55:25] "POST /api/cart/update/ HTTP/1.1" 200 125
[15/Jul/2026 13:55:25] "GET /api/cart/ HTTP/1.1" 200 340
[15/Jul/2026 13:55:26] "POST /api/cart/update/ HTTP/1.1" 200 125
[15/Jul/2026 13:55:26] "GET /api/cart/ HTTP/1.1" 200 340
[15/Jul/2026 13:55:28] "OPTIONS /api/cart/remove/ HTTP/1.1" 200 0
[15/Jul/2026 13:55:28] "POST /api/cart/remove/ HTTP/1.1" 200 36
[15/Jul/2026 13:55:28] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 14:02:54] "POST /api/cart/update/ HTTP/1.1" 401 172
[15/Jul/2026 14:02:54] "GET /api/cart/ HTTP/1.1" 401 172
[15/Jul/2026 14:03:59] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 14:03:59] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 14:03:59] "GET /api/cart/ HTTP/1.1" 401 172
[15/Jul/2026 14:03:59] "GET /api/cart/ HTTP/1.1" 401 172
[15/Jul/2026 14:15:14] "OPTIONS /api/token/ HTTP/1.1" 200 0
[15/Jul/2026 14:15:15] "POST /api/token/ HTTP/1.1" 200 491
[15/Jul/2026 14:15:16] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 14:15:16] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 14:15:25] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 14:15:25] "GET /api/products/ HTTP/1.1" 200 472
[15/Jul/2026 14:15:54] "GET /api/cart/update/ HTTP/1.1" 401 8668
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
[15/Jul/2026 14:15:55] "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 404 179
[15/Jul/2026 14:22:23] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 14:22:23] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 14:22:23] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 14:22:23] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 14:22:39] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 14:22:39] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 14:23:22] "OPTIONS /api/cart/update/ HTTP/1.1" 200 0
[15/Jul/2026 14:23:22] "POST /api/cart/update/ HTTP/1.1" 200 127
[15/Jul/2026 14:23:22] "OPTIONS /api/cart/ HTTP/1.1" 200 0
[15/Jul/2026 14:23:22] "GET /api/cart/ HTTP/1.1" 200 214
[15/Jul/2026 14:24:58] "OPTIONS /api/orders/create/ HTTP/1.1" 200 0
[15/Jul/2026 14:24:58] "POST /api/orders/create/ HTTP/1.1" 200 56
